Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX2D13A65B,CUST8BA574AF,20231116,AB092,AB Store 092 - Fort McMurray,SKU61BB2E90,"9,95",3,PROMO6EBF2B4B,1,"189,88"
TRX4E5282EB,CUSTFFBE0C0A,20231116,AB004,AB Store 004 - Lethbridge,,"11,95","7,19",PROMO8A254670,1,"65,79"
TRX7185AC20,CUST13651D6B,20231116,AB010,AB Store 010 - Leduc,,"29,95","29,95",,1,"51,94"
TRX5E0447C1,CUST137F3ADD,20231116,AB001,AB Store 001 - Calgary,,"24,95","12,48",,1,"80,84"
TRXEC1FE6A9,,20231116,ABWEB01,Alberta Online Store 01,SKUFC861340,"5,16","5,16",,1,"30,96"
TRX84843C96,,20231116,ABWEB01,Alberta Online Store 01,SKU8CD35465,"26,95","26,95",,1,"78,85"
TRX1E2BE53D,,20231116,AB032,AB Store 032 - Fort McMurray,,"1,95","1,95",,1,"37,9"
TRX720BCB93,,20231117,AB017,AB Store 017 - Chestermere,SKU55978C72,"22,48","22,48",,1,"213,6"
TRX7794222E,,20231117,ABWEB01,Alberta Online Store 01,SKUA2780DC8,"22,95","22,95",,1,"137,7"
TRX0B5ECE11,,20231117,ABWEB01,Alberta Online Store 01,SKU4F1325B3,"59,99","59,99",,1,"109,97"
TRX9779068E,,20231117,AB087,AB Store 087 - Grande Prairie,SKU41BA3570,"20,99","10,49",PROMOA34667FA,1,"24,49"
TRX1CF85EE1,CUST950A961F,20231117,AB094,AB Store 094 - Canmore,SKU302B1BD7,"9,99","4,99",PROMOA34667FA,1,"62,43"
TRX996C0A34,CUSTC3ADFABE,20231117,AB105,AB Store 105 - St. Albert,SKU7D485C93,"20,99","10,49",PROMOA34667FA,1,"112,45"
TRXDBF13B16,,20231117,AB007,AB Store 007 - Grande Prairie,SKU6E9B75A8,"11,95","7,19",PROMO8A254670,1,"175,8"
TRX07044EEC,,20231117,AB041,AB Store 041 - Calgary,SKU3168236C,"44,95","26,95",PROMO6DB3660D,1,"55,85"
TRX5E47BA42,CUSTF356EB02,20231117,AB107,AB Store 107 - Grande Prairie,SKU5BFA2834,"9,95",3,PROMO6EBF2B4B,1,"107,43"
TRX4EDE9ABD,,20231117,AB023,AB Store 023 - Red Deer,,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX71FE8EDF,,20231117,AB033,AB Store 033 - Banff,SKU956FEF79,"45,95","45,95",,1,"442,51"
TRX5F40CB89,,20231117,ABWEB01,Alberta Online Store 01,SKUCD384086,"34,99","34,99",,1,"91,99"
TRX6BE577B7,,20231117,ABWEB01,Alberta Online Store 01,SKU855DDD9A,"11,5","11,5",,1,"11,5"
TRX50AC04AC,,20231117,AB004,AB Store 004 - Lethbridge,SKUD441B32D,"11,95","7,19",PROMO8A254670,1,"196,65"
TRX2D99A418,CUST705B871F,20231117,AB010,AB Store 010 - Leduc,SKUF8186089,"9,95","5,16",PROMOA15EE2E3,1,"61,9"
TRX1EBDB7E9,CUSTFA084AC7,20231117,AB010,AB Store 010 - Leduc,SKUF3530010,"11,95","7,19",PROMO8A254670,1,"239,74"
TRX62C449D0,CUST967CB92F,20231117,AB083,AB Store 083 - Red Deer,,"7,19","7,19",,1,"6,75"
TRX43D5985E,,20231117,ABWEB01,Alberta Online Store 01,,"5,16","5,16",,1,"61,92"
TRXB299C76B,CUST59085646,20231117,AB049,AB Store 049 - Spruce Grove,SKU7134B727,"9,95","5,16",PROMOA15EE2E3,1,"61,94"
TRX65BBF189,CUSTF8A65868,20231117,AB104,AB Store 104 - Lethbridge,,"44,95","44,95",,1,0
TRX983F4485,CUST5A6A231F,20231117,AB035,AB Store 035 - Brooks,,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX41FEE92F,,20231117,ABWEB01,Alberta Online Store 01,SKU033ECB9C,"24,99","24,99",,1,"70,48"
TRX3EF6977B,,20231118,AB041,AB Store 041 - Calgary,SKU8E85574B,"11,95","7,19",PROMO8A254670,1,"35,95"
TRXAA5210A1,,20231118,AB083,AB Store 083 - Red Deer,SKU956E57B2,"44,95","44,95",,1,"169,8"
TRX45D79A4B,,20231118,ABWEB01,Alberta Online Store 01,SKU7658D67A,"7,5","7,5",,1,"85,95"
TRXAAF5BFD0,CUST85647DE7,20231118,AB056,AB Store 056 - Camrose,SKU89862BB8,"39,95","39,95",,1,"100,85"
TRX63EB0DC9,CUST2879AC7A,20231118,AB099,AB Store 099 - Sherwood Park,SKU08CCD14B,"44,95","22,95",PROMO6DB3660D,1,"80,84"
TRXE40977EC,,20231118,AB004,AB Store 004 - Lethbridge,SKU596748B2,"29,95","29,95",,1,"75,9"
TRX1454D499,,20231118,AB040,AB Store 040 - Wetaskiwin,SKU7F0B1845,"9,95","5,16",PROMOA15EE2E3,1,"87,85"
TRX11221D1B,,20231118,AB037,AB Store 037 - Chestermere,,"9,95","5,16",PROMOA15EE2E3,1,"67,85"
TRX9402739C,CUST259CA347,20231118,AB025,AB Store 025 - St. Albert,,"2,95","2,95",,1,"307,45"
TRX3715AED8,,20231118,ABWEB01,Alberta Online Store 01,SKU6E3A21BC,"17,5","17,5",,1,"53,5"
TRX5FDFD88A,,20231118,AB026,AB Store 026 - Medicine Hat,SKU1B559125,"24,95","24,95",,1,"235,59"
TRX19566C41,CUST481E6035,20231118,AB023,AB Store 023 - Red Deer,SKU4EEF649A,"49,95","49,95",,1,"147,8"
TRX2A9C5931,CUST486ED346,20231118,AB025,AB Store 025 - St. Albert,SKU919E2AB5,"39,95","39,95",,1,"75,9"
TRX45D79A4B,,20231118,ABWEB01,Alberta Online Store 01,SKU3C25B08C,"16,99","16,99",,1,"85,95"
TRX6FF05F03,CUST67AA1B0A,20231118,AB028,AB Store 028 - Airdrie,SKUF3D96216,"39,95","39,95",,1,"207,7"
TRXCAA85BE2,,20231118,ABWEB01,Alberta Online Store 01,SKU6CFD9C7F,"21,99","21,99",,1,"52,98"
TRX4A70B77F,CUST06D0C4EF,20231118,AB027,AB Store 027 - Grande Prairie,,"54,95","54,95",,1,"54,95"
TRXD43E1255,,20231118,AB085,AB Store 085 - St. Albert,SKUE546B763,"34,99","17,49",PROMOA34667FA,1,"50,39"
TRX44998C9B,CUST580BF03C,20231118,AB077,AB Store 077 - Chestermere,SKU6C38D1D6,"11,99","11,99",,1,"74,01"
TRXE370090E,,20231118,AB078,AB Store 078 - Lloydminster,SKU9EF79FE0,"30,99","15,49",PROMOA34667FA,1,"17,44"
TRX08F16DCA,,20231118,AB047,AB Store 047 - Grande Prairie,SKUEB23AB70,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX2AC5B2C8,,20231118,AB039,AB Store 039 - Sherwood Park,SKUFE494F42,"29,95","16,34",,1,"69,9"
TRXFF8B1735,CUSTFD7A8793,20231118,AB013,AB Store 013 - Banff,SKUEE4953FE,"9,95","5,16",PROMOA15EE2E3,1,"80,8"
TRXAC0624A8,,20231118,AB077,AB Store 077 - Chestermere,SKU23033FEB,"9,99","9,99",,1,"33,96"
TRX9E61ADF3,,20231118,AB055,AB Store 055 - Brooks,,"54,95","54,95",,1,"140,85"
TRX55FCE5A0,,20231118,AB102,AB Store 102 - Edmonton,SKU6457FB0A,"20,99","10,51",PROMOA34667FA,1,"74,46"
TRX3BFE568C,CUST9A742D22,20231118,AB055,AB Store 055 - Brooks,,"9,95","5,16",PROMOA15EE2E3,1,"87,85"
TRX4C6D406D,CUSTEB691E6C,20231118,AB037,AB Store 037 - Chestermere,SKUEF3DE51D,"-39,95","-39,95",,-1,"69,93"
TRX1E69CCEB,CUST8A2F8A8B,20231118,AB046,AB Store 046 - Medicine Hat,SKU8F8A8EA1,"11,95","7,19",PROMO8A254670,1,"37,9"
TRX5C606079,CUST82A33BCD,20231119,AB038,AB Store 038 - Lloydminster,,"24,95","12,49",,1,"49,9"
TRX3562491F,,20231119,AB037,AB Store 037 - Chestermere,SKU29AD13A6,"11,95","7,19",PROMO8A254670,1,"35,95"
TRXDCC4EB7C,CUST4F5E5BA0,20231119,AB037,AB Store 037 - Chestermere,SKUE6CE5798,"39,95","39,95",,1,"117,85"
TRX635D7ABC,CUST6C689648,20231119,AB099,AB Store 099 - Sherwood Park,SKU7C847014,"39,95","39,95",,1,"223,64"
TRX84CCAD9F,,20231119,AB016,AB Store 016 - Camrose,SKU669388CB,"54,95","54,95",,1,"89,9"
TRX13AF212F,CUST80C38B5A,20231119,AB039,AB Store 039 - Sherwood Park,SKUD1661047,"9,95","5,16",PROMOA15EE2E3,1,"32,9"
TRX42DBCDEB,CUSTA8A47826,20231119,AB080,AB Store 080 - Wetaskiwin,SKU29712917,"11,99","11,99",,1,"32,98"
TRX5AE04944,,20231119,AB081,AB Store 081 - Calgary,SKU621688DC,"9,95","5,15",PROMOA15EE2E3,1,"207,7"
TRX86AE6522,,20231119,ABWEB01,Alberta Online Store 01,SKUD69F59E2,"9,99","9,99",,2,"84,48"
TRX1ED0E2F6,CUST27B56C19,20231119,AB097,AB Store 097 - Chestermere,SKUACEAD47E,"49,95","49,95",,1,"99,9"
TRXEAC0DFD9,CUSTFA59C1E6,20231119,AB092,AB Store 092 - Fort McMurray,SKU189475EB,"9,95","5,16",PROMOA15EE2E3,1,"43,44"
TRX564A3FE4,,20231119,AB040,AB Store 040 - Wetaskiwin,SKUB25CA30B,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX6600479E,,20231119,AB026,AB Store 026 - Medicine Hat,SKUF182D31D,"54,95","54,95",,1,"93,8"
TRX7550AC8C,,20231119,AB094,AB Store 094 - Canmore,SKU718993F7,"44,95","34,95",PROMO6DB3660D,1,"34,95"
TRX61E85238,CUSTE08BFAC7,20231119,AB035,AB Store 035 - Brooks,SKU39629D7F,"11,95","7,19",PROMO8A254670,1,"57,8"
TRXEEFAA7C8,,20231119,AB039,AB Store 039 - Sherwood Park,SKU0DCD5925,"49,95","49,95",,1,"234,65"
TRXC304F6D0,CUSTFFC2D9D6,20231119,AB105,AB Store 105 - St. Albert,SKUC1F4C036,"11,95","3,05",PROMO6EBF2B4B,1,"168,9"
TRX29D9600B,,20231119,AB087,AB Store 087 - Grande Prairie,SKUFAD2CA6A,"20,99","10,49",PROMOA34667FA,1,"63,47"
TRX7879A055,,20231119,AB105,AB Store 105 - St. Albert,SKUA66AA3C9,"-16,99","-16,99",,-2,"7,47"
TRX418A4B0C,,20231119,ABWEB01,Alberta Online Store 01,SKU83EE8783,14,14,,1,"119,98"
TRX0ABBC82C,CUST6EF4039F,20231119,AB099,AB Store 099 - Sherwood Park,SKU6FE68E32,"29,95","29,95",,1,"65,9"
TRX16672879,,20231119,AB081,AB Store 081 - Calgary,SKUB194AAC4,"29,95","29,95",,1,"177,78"
TRXF515C335,CUST9E923201,20231119,AB107,AB Store 107 - Grande Prairie,,"1,95","1,95",,1,"52,42"
TRXF168F50C,CUST2CB3C0FD,20231119,AB021,AB Store 021 - Calgary,,"11,95","7,19",PROMO8A254670,1,"66,9"
TRXB6A3AC53,,20231119,AB092,AB Store 092 - Fort McMurray,SKU39E84197,"19,98","19,98",,1,"69,84"
TRX7905ACF4,CUST1B1D968B,20231119,AB013,AB Store 013 - Banff,SKU2F349214,"11,95","7,19",PROMO8A254670,1,"37,9"
TRX3BD2A4B1,,20231120,ABWEB01,Alberta Online Store 01,SKU6E8A3F92,"22,95","22,95",,1,"91,8"
TRX90E2892C,CUST689A4FC3,20231120,AB077,AB Store 077 - Chestermere,SKUD12523FE,"9,99","4,99",PROMOA34667FA,1,"4,99"
TRX24497140,,20231120,ABWEB01,Alberta Online Store 01,SKUDEE57D83,"26,95","26,95",,1,"53,9"
TRX177E9BD9,,20231120,ABWEB01,Alberta Online Store 01,SKUE8CD68A2,"5,16","5,16",,1,"80,91"
TRX96C17675,,20231120,ABWEB01,Alberta Online Store 01,SKU36BFB876,"29,95","29,95",,1,"166,88"
TRX57F14207,,20231120,ABWEB01,Alberta Online Store 01,SKUD85772FD,"9,99","9,99",,1,"58,46"
TRXE03B30F1,CUST13D504A8,20231120,AB012,AB Store 012 - Fort McMurray,SKU579194B4,"11,95","7,19",PROMO8A254670,1,"170,7"
TRXB003E420,,20231120,AB009,AB Store 009 - Spruce Grove,SKUE690B52C,"11,95","7,19",PROMO8A254670,1,"35,95"
TRXE82FCCC8,,20231120,AB099,AB Store 099 - Sherwood Park,SKU76B1CA7F,"24,99","12,49",PROMOA34667FA,1,"119,44"
TRX0A17704B,,20231120,ABWEB01,Alberta Online Store 01,,"10,32","10,32",,2,"61,92"
TRX7D337535,,20231120,AB009,AB Store 009 - Spruce Grove,,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXA94A2CDA,CUSTA8A2ABD8,20231120,AB097,AB Store 097 - Chestermere,SKU25C17AE3,"27,99","27,99",,1,"126,92"
TRXE0091122,,20231120,AB107,AB Store 107 - Grande Prairie,SKU86E7F1FA,"9,99","4,99",PROMOA34667FA,1,"176,86"
