SKU,EAN,Saison,Couleur - Code,Couleur - Nom,Taille du produit,Style - Description FR,Catégorie - Code,Catégorie,Sous-catégorie - Code,Sous-catégorie,Sous-classe - Code,Sous-classe
SKU1204F400,EAN1204F400,22F,P60152,SMALL FLORAL MOTIF,S,Style_1047,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU4B563A96,EAN4B563A96,22F,P60152,SMALL FLORAL MOTIF,L,Style_1048,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUCE7F41EB,EANCE7F41EB,22F,40133,STORMY SEA,L,Style_1049,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU76F47C20,EAN76F47C20,22F,60118,ROSE TAN,M,Style_1050,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU349E84EC,EAN349E84EC,22F,P40142,BLUE FLORAL,S,Style_1051,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUA6D1712E,EANA6D1712E,22F,P60143,RHODODENDRON FLORAL,M,Style_1052,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU56CCD8EB,EAN56CCD8EB,22F,P60143,RHODODENDRON FLORAL,L,Style_1053,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUB28F9E89,EANB28F9E89,22F,60118,ROSE TAN,M,Style_1054,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU80932AAD,EAN80932AAD,22F,60118,ROSE TAN,L,Style_1055,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU5EBF6038,EAN5EBF6038,22F,60118,ROSE TAN,XL,Style_1056,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU2E596DB6,EAN2E596DB6,22F,P40142,BLUE FLORAL,M,Style_1057,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU83237E85,EAN83237E85,22F,P40142,BLUE FLORAL,L,Style_1058,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUCCC60619,EANCCC60619,22F,P40142,BLUE FLORAL,XXL,Style_1059,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU1B2EFBF5,EAN1B2EFBF5,22F,P60143,RHODODENDRON FLORAL,XS,Style_1060,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU23629460,EAN23629460,22F,P60143,RHODODENDRON FLORAL,S,Style_1061,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUC2B51CF3,EANC2B51CF3,22F,P60143,RHODODENDRON FLORAL,L,Style_1062,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU91D2E19D,EAN91D2E19D,22F,40133,STORMY SEA,L,Style_1063,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUCEA69CCA,EANCEA69CCA,22F,40133,STORMY SEA,XL,Style_1064,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUC4F821B0,EANC4F821B0,22F,P40142,BLUE FLORAL,S,Style_1065,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU289F9197,EAN289F9197,22F,P10170,WHITE NORDIC FLANNEL,M,Style_1066,Catégorie_007,Catégorie_007,Sous-catégorie_011,Sous-catégorie_011,Sous-classe_030,Sous-classe_030
SKU1C76E783,EAN1C76E783,22F,40099,MARITIME BLUE,S,Style_1067,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUE1CFA33C,EANE1CFA33C,22F,P10164,BUNNY,S,Style_1068,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUF06B714E,EANF06B714E,22F,P60145,DOG SWEATER,M,Style_1069,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUFC58E088,EANFC58E088,22F,P60145,DOG SWEATER,XXL,Style_1070,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKU6A103E84,EAN6A103E84,22F,60118,ROSE TAN,XL,Style_1071,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKU9AD817A0,EAN9AD817A0,22F,P00020,Comfy Grey Mix Printed,M,Style_1072,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUB8B9FD6F,EANB8B9FD6F,22F,P00020,Comfy Grey Mix Printed,L,Style_1073,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUCE8B7B1D,EANCE8B7B1D,22F,P40151,MARITIME BLUE WORDING,S,Style_1074,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKUDD4FC5B0,EANDD4FC5B0,22F,P40151,MARITIME BLUE WORDING,M,Style_1075,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU358718CB,EAN358718CB,22F,P40151,MARITIME BLUE WORDING,XXL,Style_1076,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU1C6C8A34,EAN1C6C8A34,22F,P60145,DOG SWEATER,S,Style_1077,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKUD22B7B05,EAND22B7B05,22F,P40151,MARITIME BLUE WORDING,S,Style_1078,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_045,Sous-classe_045
SKU2BBB1EE3,EAN2BBB1EE3,22F,P60145,DOG SWEATER,L,Style_1079,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_045,Sous-classe_045
SKUBF32117D,EANBF32117D,22F,P10166,CORGI WORDING,S,Style_1080,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU0F04D2D6,EAN0F04D2D6,22F,P40144,BUNNY LOVE,S,Style_1081,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU2469989D,EAN2469989D,22F,P40144,BUNNY LOVE,L,Style_1082,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU16DD2D3B,EAN16DD2D3B,22F,P40149,MARITIME BLUE PLAID,XS,Style_1083,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU20CF9269,EAN20CF9269,22F,P10166,CORGI WORDING,M,Style_1084,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU50DCFFA7,EAN50DCFFA7,22F,P40144,BUNNY LOVE,M,Style_1085,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU0232B2A5,EAN0232B2A5,22F,P40149,MARITIME BLUE PLAID,M,Style_1086,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKUF19B2FC4,EANF19B2FC4,22F,60118,ROSE TAN,S,Style_1087,Catégorie_007,Catégorie_007,Sous-catégorie_015,Sous-catégorie_015,Sous-classe_022,Sous-classe_022
SKUFF5BAE0A,EANFF5BAE0A,22F,P00020,Comfy Grey Mix Printed,M,Style_1088,Catégorie_007,Catégorie_007,Sous-catégorie_015,Sous-catégorie_015,Sous-classe_022,Sous-classe_022
SKUFB983BD9,EANFB983BD9,22F,P40143,GRAY MIST PLAID,XXL,Style_1089,Catégorie_007,Catégorie_007,Sous-catégorie_015,Sous-catégorie_015,Sous-classe_030,Sous-classe_030
SKU375954F5,EAN375954F5,22F,A00002,P40149 P00020,O/S,Style_1090,Catégorie_007,Catégorie_007,Sous-catégorie_028,Sous-catégorie_028,Sous-classe_031,Sous-classe_031
SKU70D59BF2,EAN70D59BF2,22F,P40142,BLUE FLORAL,S,Style_1091,Catégorie_003,Catégorie_003,Sous-catégorie_035,Sous-catégorie_035,Sous-classe_052,Sous-classe_052
SKUD313DFCA,EAND313DFCA,22F,P40142,BLUE FLORAL,L,Style_1092,Catégorie_003,Catégorie_003,Sous-catégorie_035,Sous-catégorie_035,Sous-classe_052,Sous-classe_052
SKU3CF832BF,EAN3CF832BF,22F,P40142,BLUE FLORAL,XL,Style_1093,Catégorie_003,Catégorie_003,Sous-catégorie_035,Sous-catégorie_035,Sous-classe_052,Sous-classe_052
SKUABCB0865,EANABCB0865,22F,60120,RHODODENDRON,L,Style_1094,Catégorie_003,Catégorie_003,Sous-catégorie_035,Sous-catégorie_035,Sous-classe_052,Sous-classe_052
SKU67CE2CC0,EAN67CE2CC0,22F,60120,RHODODENDRON,38B,Style_1095,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_051,Sous-classe_051
SKU4E25DF80,EAN4E25DF80,22F,60120,RHODODENDRON,36C,Style_1096,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_051,Sous-classe_051
